customer_id,customer_state,customer_city,customer_zip_code
CUST001,South Carolina,West Travis,60151
CUST002,Colorado,Cynthiaborough,25533
CUST003,New Hampshire,Jacksonview,68819
CUST004,Alabama,West Matthew,64880
CUST005,Vermont,Jayberg,63078
CUST006,South Carolina,Johnport,23294
CUST007,New Jersey,Lake Suzanneton,65277
CUST008,Colorado,Shawtown,30245
CUST009,Nebraska,Williamview,92226
CUST010,Arizona,Fowlerburgh,95175
CUST011,Oregon,Moorefurt,41157
CUST012,Vermont,Freemanville,55019
CUST013,West Virginia,Port Johnny,84865
CUST014,North Dakota,Hodgeport,76814
CUST015,California,South Amyfort,68314
CUST016,Maryland,West Dawn,46904
CUST017,Oregon,Pattersonport,34687
CUST018,California,Rowetown,58650
CUST019,Utah,New Yolanda,59626
CUST020,California,East Ryan,99823
