order_id,product_id,customer_id,order_purchase_timestamp,price,order_item_id
ORD001,PRD017,CUST002,2025-05-31 16:52:56,1165,2
ORD002,PRD010,CUST005,2025-09-01 02:56:02,678,1
ORD003,PRD018,CUST014,2025-05-03 17:21:51,947,2
ORD004,PRD008,CUST005,2025-04-06 18:01:30,1169,1
ORD005,PRD001,CUST010,2025-01-25 11:43:29,1058,2
ORD006,PRD006,CUST011,2025-02-24 23:23:13,869,2
ORD007,PRD006,CUST017,2025-02-27 16:09:53,1986,2
ORD008,PRD015,CUST005,2025-09-08 01:24:02,407,1
ORD009,PRD008,CUST007,2025-04-25 20:54:21,1795,2
ORD010,PRD014,CUST013,2025-09-08 18:48:01,471,2
ORD011,PRD020,CUST014,2025-02-24 11:58:52,200,3
ORD012,PRD006,CUST001,2025-02-25 19:27:04,1443,2
ORD013,PRD005,CUST020,2025-08-25 17:29:33,1394,2
ORD014,PRD002,CUST001,2025-09-20 01:51:52,202,2
ORD015,PRD010,CUST013,2025-01-08 23:01:33,731,2
ORD016,PRD006,CUST001,2025-01-16 11:13:37,1983,3
ORD017,PRD017,CUST018,2025-01-06 03:11:11,252,1
ORD018,PRD010,CUST004,2025-04-18 10:06:33,257,2
ORD019,PRD016,CUST007,2025-02-06 22:41:32,409,3
ORD020,PRD017,CUST004,2025-07-02 06:04:23,1301,3
ORD021,PRD011,CUST002,2025-01-24 03:21:23,1910,3
ORD022,PRD017,CUST015,2025-07-17 08:26:37,1855,3
ORD023,PRD020,CUST013,2025-05-24 10:24:49,595,1
ORD024,PRD001,CUST001,2025-03-13 07:31:02,1764,2
ORD025,PRD016,CUST004,2025-01-01 04:58:26,370,1
ORD026,PRD001,CUST006,2025-07-15 05:35:27,1000,2
ORD027,PRD014,CUST002,2025-05-31 03:11:03,541,2
ORD028,PRD005,CUST006,2025-04-16 17:57:02,1223,2
ORD029,PRD015,CUST006,2025-02-06 02:35:29,1755,1
ORD030,PRD019,CUST014,2025-01-14 20:09:47,1540,1
ORD031,PRD011,CUST005,2025-03-26 03:30:06,1178,3
ORD032,PRD012,CUST011,2025-08-14 05:04:48,1908,1
ORD033,PRD017,CUST007,2025-03-07 14:02:01,210,3
ORD034,PRD017,CUST015,2025-03-03 16:51:37,1448,1
ORD035,PRD001,CUST002,2025-01-08 05:52:07,1517,1
ORD036,PRD006,CUST018,2025-02-20 04:56:40,1862,2
ORD037,PRD016,CUST011,2025-06-21 09:33:50,702,3
ORD038,PRD001,CUST015,2025-03-29 22:36:10,1101,2
ORD039,PRD015,CUST005,2025-03-09 15:39:08,1577,3
ORD040,PRD006,CUST013,2025-08-27 14:14:03,1724,2
ORD041,PRD003,CUST011,2025-01-05 04:33:49,307,3
ORD042,PRD013,CUST014,2025-02-08 21:58:10,438,2
ORD043,PRD020,CUST008,2025-04-14 19:58:45,1452,2
ORD044,PRD016,CUST013,2025-06-27 17:59:17,1620,1
ORD045,PRD017,CUST003,2025-01-15 09:59:37,1704,3
ORD046,PRD014,CUST001,2025-02-09 21:07:50,1404,3
ORD047,PRD003,CUST020,2025-09-05 13:44:29,487,1
ORD048,PRD018,CUST014,2025-01-23 22:01:07,1544,3
ORD049,PRD020,CUST010,2025-04-01 03:02:10,1592,2
ORD050,PRD008,CUST019,2025-06-25 03:09:30,1721,2
