order_id,payment_type,payment_value
ORD001,Credit Card,2330
ORD002,UPI,678
ORD003,Debit Card,1894
ORD004,Net Banking,1169
ORD005,Net Banking,2116
ORD006,UPI,1738
ORD007,UPI,3972
ORD008,Credit Card,407
ORD009,Wallet,3590
ORD010,Wallet,942
ORD011,Net Banking,600
ORD012,Debit Card,2886
ORD013,Debit Card,2788
ORD014,Net Banking,404
ORD015,UPI,1462
ORD016,UPI,5949
ORD017,Credit Card,252
ORD018,Credit Card,514
ORD019,Wallet,1227
ORD020,Credit Card,3903
ORD021,Debit Card,5730
ORD022,Debit Card,5565
ORD023,Debit Card,595
ORD024,Credit Card,3528
ORD025,Wallet,370
ORD026,Net Banking,2000
ORD027,UPI,1082
ORD028,Debit Card,2446
ORD029,UPI,1755
ORD030,Credit Card,1540
ORD031,Wallet,3534
ORD032,Net Banking,1908
ORD033,Credit Card,630
ORD034,Wallet,1448
ORD035,Net Banking,1517
ORD036,Wallet,3724
ORD037,Wallet,2106
ORD038,Net Banking,2202
ORD039,Net Banking,4731
ORD040,Credit Card,3448
ORD041,Credit Card,921
ORD042,Debit Card,876
ORD043,Net Banking,2904
ORD044,Wallet,1620
ORD045,Credit Card,5112
ORD046,Wallet,4212
ORD047,Wallet,487
ORD048,Net Banking,4632
ORD049,Net Banking,3184
ORD050,Net Banking,3442
