product_id,category,product_name
PRD001,Electronics,Protect
PRD002,Furniture,Newspaper
PRD003,Home Appliance,Air
PRD004,Home Appliance,As
PRD005,Furniture,Ground
PRD006,Electronics,Poor
PRD007,Furniture,Town
PRD008,Furniture,Common
PRD009,Electronics,Traditional
PRD010,Electronics,Candidate
PRD011,Clothing,What
PRD012,Toys,Even
PRD013,Clothing,Friend
PRD014,Home Appliance,Bit
PRD015,Home Appliance,So
PRD016,Toys,Use
PRD017,Toys,Save
PRD018,Home Appliance,Value
PRD019,Toys,Perform
PRD020,Electronics,Under
